AMZN	1680307200	718.34
GOOGL	1680308400	135.32
GOOGL	1680308400	191.89
GOOGL	1680309600	563.36
AAPL	1680310200	789.39
AMZN	1680310800	503.25
TSLA	1680311400	780.2
AMZN	1680312000	1282.18
MSFT	1680312600	1252.08
TSLA	1680313200	977.99
TSLA	1680313800	591.35
AAPL	1680314400	429.03
AAPL	1680315000	507.75
TSLA	1680315600	570.88
AMZN	1680316200	440.16
AMZN	1680316800	218.52
TSLA	1680317400	1332.14
TSLA	1680318000	967.01
GOOGL	1680318600	653.95
AMZN	1680319200	1004.24
TSLA	1680319800	760.97
TSLA	1680320400	265.25
GOOGL	1680321000	332.92
MSFT	1680321600	809.9
MSFT	1680322200	1047.72
TSLA	1680322800	1357.12
GOOGL	1680323400	1375.68
AAPL	1680324000	830.93
AMZN	1680324600	122.95
AAPL	1680325200	680.78
AMZN	1680325800	1148.42
TSLA	1680326400	1256.71
AAPL	1680327000	734.89
TSLA	1680327600	642.7
TSLA	1680328200	1098.4
AMZN	1680328800	507.07
AAPL	1680329400	309.6
MSFT	1680330000	619.57
AMZN	1680330600	179.49
AMZN	1680331200	434.23
TSLA	1680331800	420.41
MSFT	1680332400	1259.83
AMZN	1680333000	383.46
TSLA	1680333600	932.43
AAPL	1680334200	572.8
TSLA	1680334800	495.53
GOOGL	1680335400	1133.18
MSFT	1680336000	130.29
GOOGL	1680336600	742.05
AMZN	1680337200	1329.69
AAPL	1680337800	273.16
GOOGL	1680338400	523.85
AAPL	1680339000	946.2
AMZN	1680339600	1247.49
GOOGL	1680340200	177.44
TSLA	1680340800	568.01
AMZN	1680341400	1131.48
AAPL	1680342000	885.3
AMZN	1680342600	223.09
AAPL	1680343200	669.91
AAPL	1680343800	1488.88
TSLA	1680344400	420.23
AAPL	1680345000	666.78
GOOGL	1680345600	399.83
GOOGL	1680346200	1202.04
AAPL	1680346800	822.05
AAPL	1680347400	586.22
GOOGL	1680348000	1184.19
GOOGL	1680348600	965.48
MSFT	1680349200	250.43
AAPL	1680349800	395.59
MSFT	1680350400	123.35
AAPL	1680351000	1282.28
MSFT	1680351600	274.9
AAPL	1680352200	409.93
AAPL	1680352800	249.42
AAPL	1680353400	1444.52
TSLA	1680354000	434.98
AMZN	1680354600	253.01
TSLA	1680355200	463.21
MSFT	1680355800	1429.31
AAPL	1680356400	1133.9
MSFT	1680357000	1141.89
MSFT	1680357600	256.38
MSFT	1680358200	1410.81
AMZN	1680358800	1086.66
AMZN	1680359400	1320.14
GOOGL	1680360000	219.64
AAPL	1680360600	748.79
AMZN	1680361200	789.29
TSLA	1680361800	1436.56
MSFT	1680362400	385.5
TSLA	1680363000	1469.95
AAPL	1680363600	1029.26
MSFT	1680364200	187.75
AAPL	1680364800	504.68
TSLA	1680365400	1241.87
AAPL	1680366000	828.38
AMZN	1680366600	769.28
